463, 462
462, 461
463, 462
466, 462
465, 461
466, 462
468, 463
468, 463
469, 464
469, 464
469, 464
469, 466
469, 466
469, 466
470, 466
470, 466
471, 471
471, 471
471, 471
471, 471
471, 473
471, 473
471, 473
471, 473
471, 473
470, 472
470, 472
470, 476
469, 476
469, 476
468, 477
466, 479
467, 478
466, 480
466, 480
466, 482
465, 483
464, 485
464, 485
463, 487
461, 487
462, 487
460, 487
460, 489
458, 490
458, 489
456, 491
457, 490
453, 491
454, 489
454, 493
453, 490
453, 494
453, 494
448, 495
448, 495
448, 495
447, 495
447, 495
447, 497
445, 497
445, 497
442, 499
442, 499
441, 499
437, 500
439, 500
436, 503
435, 505
435, 504
433, 506
431, 509
431, 512
430, 514
429, 519
424, 522
425, 527
425, 530
422, 538
419, 540
419, 547
416, 555
415, 561
414, 568
410, 574
410, 582
410, 590
407, 599
405, 606
407, 617
403, 627
403, 637
403, 644
400, 658
400, 665
401, 680
399, 693
402, 704
399, 713
396, 726
395, 738
394, 752
396, 765
397, 773
396, 791
396, 800
397, 814
395, 827
396, 840
396, 850
396, 863
395, 874
396, 885
394, 898
395, 908
397, 923
394, 929
397, 943
395, 952
395, 962
396, 977
396, 987
398, 996
399, 1007
397, 1018
397, 1030
396, 1038
397, 1049
397, 1058
397, 1066
396, 1074
398, 1086
398, 1093
399, 1105
397, 1111
398, 1120
397, 1129
400, 1137
400, 1144
399, 1153
399, 1158
400, 1167
398, 1175
398, 1179
399, 1186
399, 1197
398, 1204
398, 1208
400, 1215
401, 1220
402, 1226
402, 1230
401, 1239
402, 1244
402, 1248
402, 1254
404, 1260
404, 1260
404, 1264
405, 1265
404, 1267
404, 1269
405, 1267
405, 1268
405, 1267
405, 1264
402, 1261
403, 1255
402, 1250
402, 1247
401, 1240
397, 1232
397, 1220
396, 1215
396, 1204
394, 1194
393, 1182
393, 1174
392, 1166
391, 1152
392, 1145
391, 1134
390, 1123
388, 1108
389, 1097
386, 1087
385, 1079
382, 1067
382, 1055
381, 1046
378, 1033
378, 1021
378, 1014
375, 1001
375, 993
374, 984
370, 974
368, 961
366, 952
367, 944
367, 931
364, 920
362, 913
361, 901
360, 893
361, 886
358, 871
356, 861
355, 855
354, 842
353, 831
354, 824
354, 811
352, 801
353, 793
351, 780
352, 769
351, 760
352, 749
355, 734
352, 722
353, 712
352, 701
353, 688
352, 676
352, 664
351, 651
353, 640
354, 626
355, 617
354, 605
355, 592
354, 582
355, 572
355, 562
353, 548
355, 539
357, 532
356, 522
357, 516
358, 511
358, 501
358, 500
360, 492
362, 493
362, 492
364, 488
366, 488
369, 489
368, 492
368, 492
370, 494
371, 496
372, 496
375, 497
375, 499
376, 496
376, 493
376, 490
378, 488
378, 488
382, 488
382, 488
